track_id,in_playlist_url,default_url,title,username,username_link,in_playlist,artwork_url,create_time,username_playlist,username_playlist_url,description,playback_count,likes_count,reposts_count,comment_count,duration,purchase_title,purchase_url,genre,tag_list,related_track
237008705,https://soundcloud.com/roger-b-train/just-a-mood-4?in=roger-b-train/sets/just-a-mood-playlist,https://soundcloud.com/roger-b-train/just-a-mood-4,Just A Mood (4),Roger/B-Train,https://soundcloud.com/roger-b-train,Just A MooD/Playlist,https://i1.sndcdn.com/artworks-000139131728-427frs-t500x500.jpg,2015-12-10T22:59:26.000Z,Roger/B-Train,https://soundcloud.com/roger-b-train,"I was practicing some right hand muting on guitar to see if I could do it and with many take's got it settled down some and come up with this...Rythmn and put some lead on for color but I think there's something here?? Gotta work it more but if ya hear or feel something willing to work with ya on it from scratch!! Like that mute sound on rythmn!! Just another mood!!! :D
Roger-b-train – Just-a-mood-3",2253,185,73,67,2:30,,,Porchblues,,Illegal Moneytransaction;Bullitt Rock. Collab Rémi Carpentier synthé. (with you tube video);And I Love Her
239240736,https://soundcloud.com/roger-b-train/just-a-mood-5?in=roger-b-train/sets/just-a-mood-playlist,https://soundcloud.com/roger-b-train/just-a-mood-5,Just A Mood (5),Roger/B-Train,https://soundcloud.com/roger-b-train,Just A MooD/Playlist,https://i1.sndcdn.com/artworks-000140918869-hi8wd8-t500x500.jpg,2015-12-27T01:33:22.000Z,Roger/B-Train,https://soundcloud.com/roger-b-train,"youtu.be/FKqoT16aUF4
Was messing around on FB Yesterday and was on the Blue's Guitar Lesson page talking to Nathan Michaud and he was kind enough to post the backtrack under his fabulous playing but I had to give this a goo...this was yesterday and forgot all about it but listening back with a little panning for mix came out ok....ya new this was coming right??? hahahahaha!!!! Cheer's and Thanks Nathan for the backtrack info!!! ;)",2145,229,100,92,5:12,,,Alternative Rock,,Illegal Moneytransaction;Bullitt Rock. Collab Rémi Carpentier synthé. (with you tube video);And I Love Her
1131859120,https://soundcloud.com/rootradiolive/incomplete-guidelines-for-complete-works-root-radio-26092021?in=rootradiolive/sets/incomplete-guidelines-for,https://soundcloud.com/rootradiolive/incomplete-guidelines-for-complete-works-root-radio-26092021,incomplete guidelines for complete works | Root Radio 26/09/2021,Root︱روت,https://soundcloud.com/rootradiolive,incomplete guidelines for complete works w/ korre,https://i1.sndcdn.com/artworks-1i1R0oMyRasVDuGl-tMwNAA-t500x500.jpg,2021-09-27T13:50:51.000Z,Root︱روت,https://soundcloud.com/rootradiolive,,73,4,1,,58:24,,,,,Sualtı w/ Dj Rayne invites Gledd | Root Radio 21/06/2021;Tolga Baklacioglu Invites: Caline with C | Root Radio 21/10/2020;Cited Silence with Muqata'a   صمت مقتبس مع مقاطعة
1060482508,https://soundcloud.com/rootradiolive/incomplete-guidelines-for-complete-works-root-radio-30052021?in=rootradiolive/sets/incomplete-guidelines-for,https://soundcloud.com/rootradiolive/incomplete-guidelines-for-complete-works-root-radio-30052021,incomplete guidelines for complete works | Root Radio 30/05/2021,Root︱روت,https://soundcloud.com/rootradiolive,incomplete guidelines for complete works w/ korre,https://i1.sndcdn.com/artworks-VxLSz3aSznxyx6rF-vbLIpw-t500x500.jpg,2021-06-02T12:42:23.000Z,Root︱روت,https://soundcloud.com/rootradiolive,rootradio.live,80,2,1,,59:09,,,,,Sualtı w/ Dj Rayne invites Gledd | Root Radio 21/06/2021;Tolga Baklacioglu Invites: Caline with C | Root Radio 21/10/2020;Cited Silence with Muqata'a   صمت مقتبس مع مقاطعة
1037943025,https://soundcloud.com/rootradiolive/incomplete-guidelines-for-complete-works-w-foteini-korre?in=rootradiolive/sets/incomplete-guidelines-for,https://soundcloud.com/rootradiolive/incomplete-guidelines-for-complete-works-w-foteini-korre,incomplete guidelines for complete works w/ Foteini Korre | Root Radio 25/04/2021,Root︱روت,https://soundcloud.com/rootradiolive,incomplete guidelines for complete works w/ korre,https://i1.sndcdn.com/artworks-ZX0C1dA20qwwwIeE-d0UISA-t500x500.jpg,2021-04-27T18:36:53.000Z,Root︱روت,https://soundcloud.com/rootradiolive,rootradio.live,,,,,1:00:15,,,,,Sualtı w/ Dj Rayne invites Gledd | Root Radio 21/06/2021;Tolga Baklacioglu Invites: Caline with C | Root Radio 21/10/2020;Cited Silence with Muqata'a   صمت مقتبس مع مقاطعة
984010000,https://soundcloud.com/rootradiolive/incomplete-guidelines-for-complete-works-root-radio-31012021?in=rootradiolive/sets/incomplete-guidelines-for,https://soundcloud.com/rootradiolive/incomplete-guidelines-for-complete-works-root-radio-31012021,incomplete guidelines for complete works | Root Radio 31/01/2021,Root︱روت,https://soundcloud.com/rootradiolive,incomplete guidelines for complete works w/ korre,https://i1.sndcdn.com/artworks-qh3g8Y63W8m8g4y4-xe372g-t500x500.jpg,2021-02-12T08:24:13.000Z,Root︱روت,https://soundcloud.com/rootradiolive,"incomplete guidelines for complete works w/ foteineli
rootradio.live",330,3,1,,59:12,,,,,Sualtı w/ Dj Rayne invites Gledd | Root Radio 21/06/2021;Tolga Baklacioglu Invites: Caline with C | Root Radio 21/10/2020;Cited Silence with Muqata'a   صمت مقتبس مع مقاطعة
996626497,https://soundcloud.com/rootradiolive/incomplete-guidelines-for-complete-works-root-radio-28022021?in=rootradiolive/sets/incomplete-guidelines-for,https://soundcloud.com/rootradiolive/incomplete-guidelines-for-complete-works-root-radio-28022021,incomplete guidelines for complete works | Root Radio 28/02/2021,Root︱روت,https://soundcloud.com/rootradiolive,incomplete guidelines for complete works w/ korre,https://i1.sndcdn.com/artworks-d5bbF0MqdG3XmBwZ-6aDhEw-t500x500.jpg,2021-03-02T11:52:35.000Z,Root︱روت,https://soundcloud.com/rootradiolive,"incomplete guidelines for complete works w/ foteineli
rootradio.live",,,,,59:46,,,,,Sualtı w/ Dj Rayne invites Gledd | Root Radio 21/06/2021;Tolga Baklacioglu Invites: Caline with C | Root Radio 21/10/2020;Cited Silence with Muqata'a   صمت مقتبس مع مقاطعة
107808324,https://soundcloud.com/triple-j-hack/hack-thurs-29-august?in=triple-j-hack/sets/hack-6,https://soundcloud.com/triple-j-hack/hack-thurs-29-august,Hack: Thurs 29 August,triple j Hack,https://soundcloud.com/triple-j-hack,Hack #6,https://i1.sndcdn.com/artworks-000056481128-40azv6-t500x500.jpg,2013-08-29T09:16:34.000Z,triple j Hack,https://soundcloud.com/triple-j-hack,Will the US intervene in Syria? Meet the Thomas Edison of our generation... and two teenagers vying to be the first Indigenous Prime Minister.,,,,,0:00,,,Hack,Hack triple j Current Affaris Youth News,Demon High;Squid Game & Do It To It (Zedd Edit);Super Gremlin
106476153,https://soundcloud.com/triple-j-hack/hack-friday-16th-august?in=triple-j-hack/sets/hack-6,https://soundcloud.com/triple-j-hack/hack-friday-16th-august,Hack: Friday 16th August,,,Hack #6,https://i1.sndcdn.com/artworks-000055856905-po8lqb-t500x500.jpg,2013-08-21T09:48:19.000Z,triple j Hack,https://soundcloud.com/triple-j-hack,"Rod Schneider & Jess Maguire chat out the ASADA/football saga and the big political issues of the week, with Tom Tilley.",,,,,0:00,,,Hack,Hack triple j Current Affaris Youth News,Demon High;Squid Game & Do It To It (Zedd Edit);Super Gremlin
102236347,https://soundcloud.com/triple-j-hack/hack-tues-23-july?in=triple-j-hack/sets/hack-6,https://soundcloud.com/triple-j-hack/hack-tues-23-july,Hack: Tues 23 July,triple j Hack,https://soundcloud.com/triple-j-hack,Hack #6,https://i1.sndcdn.com/artworks-000053568759-rj5obg-t500x500.jpg,2013-07-23T09:26:09.000Z,triple j Hack,https://soundcloud.com/triple-j-hack,The ministers are lining up to speak to you. Today we have the Minister for Higher Education and Innovation Kim Carr. We put your questions about university and the cost of student living directly to him.,,,,,0:00,,,Hack,Hack triple j Current Affaris Youth News,Demon High;Squid Game & Do It To It (Zedd Edit);Super Gremlin
